Ensembl_ID	External_Gene_Name
ENSMUSG00000021130.7	GALNT16
ENSMUSG00000021131.11	ERH
ENSMUSG00000021133.8	SUSD6
ENSMUSG00000021134.15	SRSF5
ENSMUSG00000021135.7	SLC10A1
ENSMUSG00000021136.11	SMOC1
ENSMUSG00000021139.15	GM20498
ENSMUSG00000021140.8	PCNX
ENSMUSG00000021143.9	PACS2
ENSMUSG00000021144.12	MTA1
ENSMUSG00000021147.14	WDR37
ENSMUSG00000021148.9	GM9745
ENSMUSG00000021149.7	GTPBP4
ENSMUSG00000021156.14	ZMYND11
ENSMUSG00000021171.7	ESYT2
ENSMUSG00000021175.13	CDCA7L
ENSMUSG00000021176.5	EFCAB11
ENSMUSG00000021177.13	TDP1
ENSMUSG00000021178.8	PSMC1
ENSMUSG00000021179.7	NRDE2
ENSMUSG00000021180.8	RPS6KA5
ENSMUSG00000021182.12	CCDC88C
ENSMUSG00000021185.13	9030617O03RIK
ENSMUSG00000021186.8	FBLN5
ENSMUSG00000021187.12	TC2N
ENSMUSG00000021188.12	TRIP11
ENSMUSG00000021189.9	ATXN3
ENSMUSG00000021190.12	LGMN
ENSMUSG00000021192.13	GOLGA5
ENSMUSG00000021193.9	PITRM1
ENSMUSG00000021194.5	CHGA
ENSMUSG00000021196.11	PFKP
ENSMUSG00000021198.14	UNC79
ENSMUSG00000021200.12	ASB2
ENSMUSG00000021203.13	OTUB2
ENSMUSG00000021207.8	AKR1C21
ENSMUSG00000021208.9	IFI27L2B
ENSMUSG00000021209.10	PPP4R4
ENSMUSG00000021210.13	AKR1C6
ENSMUSG00000021211.3	AKR1C12
ENSMUSG00000021213.9	AKR1C13
ENSMUSG00000021214.11	AKR1C18
ENSMUSG00000021215.12	NET1
ENSMUSG00000021216.6	TUBAL3
ENSMUSG00000021217.7	TSHZ3
ENSMUSG00000021218.9	GDI2
ENSMUSG00000021219.14	RGS6
ENSMUSG00000021221.13	DPF3
ENSMUSG00000021222.8	DCAF4
ENSMUSG00000021223.11	PAPLN
ENSMUSG00000021224.12	NUMB
ENSMUSG00000021226.7	ACOT2
ENSMUSG00000021228.12	ACOT3
ENSMUSG00000021234.7	FAM161B
ENSMUSG00000021235.11	COQ6
ENSMUSG00000021236.14	ENTPD5
ENSMUSG00000021238.10	ALDH6A1
ENSMUSG00000021239.10	VSX2
ENSMUSG00000021240.5	ABCD4
ENSMUSG00000021241.6	ISCA2
ENSMUSG00000021242.8	NPC2
ENSMUSG00000021243.12	FCF1
ENSMUSG00000021244.13	YLPM1
ENSMUSG00000021245.12	MLH3
ENSMUSG00000021248.8	TMED10
ENSMUSG00000021250.11	FOS
ENSMUSG00000021252.9	0610007P14RIK
ENSMUSG00000021253.6	TGFB3
ENSMUSG00000021254.8	GPATCH2L
ENSMUSG00000021255.15	ESRRB
ENSMUSG00000021256.5	VASH1
ENSMUSG00000021257.12	ANGEL1
ENSMUSG00000021258.9	CCNK
ENSMUSG00000021259.4	CYP46A1
ENSMUSG00000021260.7	HHIPL1
ENSMUSG00000021262.12	EVL
ENSMUSG00000021263.8	DEGS2
ENSMUSG00000021264.11	YY1
ENSMUSG00000021265.3	SLC25A29
ENSMUSG00000021266.14	WARS
ENSMUSG00000021268.15	MEG3
ENSMUSG00000021270.11	HSP90AA1
ENSMUSG00000021271.4	ZFP839
ENSMUSG00000021273.9	FDFT1
ENSMUSG00000021275.13	TECPR2
ENSMUSG00000021276.9	CINP
ENSMUSG00000021277.14	TRAF3
ENSMUSG00000021278.6	AMN
ENSMUSG00000021279.4	CDC42BPB
ENSMUSG00000021280.8	EXOC3L4
ENSMUSG00000021281.13	TNFAIP2
ENSMUSG00000021282.14	EIF5
ENSMUSG00000021285.12	PPP1R13B
ENSMUSG00000021286.7	ZFYVE21
ENSMUSG00000021287.10	XRCC3
ENSMUSG00000021288.16	KLC1
ENSMUSG00000021290.5	2010107E04RIK
ENSMUSG00000021294.7	KIF26A
ENSMUSG00000021298.7	GPR132
ENSMUSG00000021301.8	HECW1
ENSMUSG00000021302.9	GGPS1
ENSMUSG00000021303.11	GNG4
ENSMUSG00000021306.10	GPR137B
ENSMUSG00000021311.8	MTR
ENSMUSG00000021313.13	RYR2
ENSMUSG00000021314.9	AMPH
ENSMUSG00000021318.13	GLI3
ENSMUSG00000021319.6	SFRP4
ENSMUSG00000021322.7	AOAH
ENSMUSG00000021326.9	TRIM27
ENSMUSG00000021327.16	ZKSCAN3
ENSMUSG00000021335.11	SLC17A1
ENSMUSG00000021336.14	SLC17A4
ENSMUSG00000021337.7	SCGN
ENSMUSG00000021338.15	LRRC16A
ENSMUSG00000021339.3	MRS2
ENSMUSG00000021340.10	GPLD1
ENSMUSG00000021342.11	PRL
ENSMUSG00000021345.13	PRL8A6
ENSMUSG00000021346.11	PRL8A8
ENSMUSG00000021347.3	PRL7B1
ENSMUSG00000021348.2	PRL7D1
ENSMUSG00000021356.7	IRF4
ENSMUSG00000021357.11	EXOC2
ENSMUSG00000021359.13	TFAP2A
ENSMUSG00000021360.13	GCNT2
ENSMUSG00000021361.6	TMEM14C
ENSMUSG00000021362.6	GCM2
ENSMUSG00000021363.11	MAK
ENSMUSG00000021364.13	ELOVL2
ENSMUSG00000021365.12	NEDD9
ENSMUSG00000021366.7	HIVEP1
ENSMUSG00000021367.7	EDN1
ENSMUSG00000021368.12	TBC1D7
ENSMUSG00000021371.4	MCUR1
ENSMUSG00000021373.13	CAP2
ENSMUSG00000021374.9	NUP153
ENSMUSG00000021375.9	KIF13A
ENSMUSG00000021376.8	TPMT
ENSMUSG00000021377.12	DEK
ENSMUSG00000021379.1	ID4
ENSMUSG00000021381.4	BARX1
ENSMUSG00000021384.12	SUSD3
ENSMUSG00000021385.9	IPPK
ENSMUSG00000021388.11	ASPN
ENSMUSG00000021390.5	OGN
ENSMUSG00000021391.9	CENPP
ENSMUSG00000021392.7	NOL8
ENSMUSG00000021395.10	SPIN1
ENSMUSG00000021396.4	NXNL2
ENSMUSG00000021400.6	WRNIP1
ENSMUSG00000021403.2	SERPINB9B
ENSMUSG00000021404.10	SERPINB9C
ENSMUSG00000021408.12	RIPK1
ENSMUSG00000021411.13	PXDC1
ENSMUSG00000021413.8	PRPF4B
ENSMUSG00000021414.7	FAM217A
ENSMUSG00000021415.11	4933417A18RIK
ENSMUSG00000021416.9	ECI3
ENSMUSG00000021417.12	ECI2
ENSMUSG00000021418.13	RPP40
ENSMUSG00000021420.10	FARS2
ENSMUSG00000021423.5	LY86
ENSMUSG00000021427.9	SSR1
ENSMUSG00000021428.8	RIOK1
ENSMUSG00000021431.12	SNRNP48
ENSMUSG00000021432.12	SLC35B3
ENSMUSG00000021439.7	CTSQ
ENSMUSG00000021440.6	CTS7
ENSMUSG00000021441.4	CTS6
ENSMUSG00000021448.6	SHC3
ENSMUSG00000021451.13	SEMA4D
ENSMUSG00000021453.2	GADD45G
ENSMUSG00000021456.7	FBP2
ENSMUSG00000021457.12	SYK
ENSMUSG00000021458.14	2010111I01RIK
ENSMUSG00000021460.14	AUH
ENSMUSG00000021461.14	FANCC
ENSMUSG00000021464.12	ROR2
ENSMUSG00000021466.9	PTCH1
ENSMUSG00000021468.7	SPTLC1
ENSMUSG00000021469.9	MSX2
ENSMUSG00000021470.15	ERCC6L2
ENSMUSG00000021474.8	SFXN1
ENSMUSG00000021476.8	HABP4
ENSMUSG00000021477.8	CTSL
ENSMUSG00000021478.5	DRD1
ENSMUSG00000021481.9	ZFP346
ENSMUSG00000021482.9	AAED1
ENSMUSG00000021483.7	CDK20
ENSMUSG00000021484.7	LMAN2
ENSMUSG00000021485.11	MXD3
ENSMUSG00000021486.6	PRELID1
ENSMUSG00000021488.7	NSD1
ENSMUSG00000021490.10	SLC34A1
ENSMUSG00000021492.13	F12
ENSMUSG00000021493.13	PDLIM7
ENSMUSG00000021494.8	DDX41
ENSMUSG00000021495.8	FAM193B
ENSMUSG00000021496.10	PCBD2
ENSMUSG00000021497.9	TXNDC15
ENSMUSG00000021499.10	CATSPER3
ENSMUSG00000021500.13	DDX46
ENSMUSG00000021501.4	CAML
ENSMUSG00000021504.12	B4GALT7
ENSMUSG00000021506.7	PITX1
ENSMUSG00000021508.10	CXCL14
ENSMUSG00000021509.5	SLC25A48
ENSMUSG00000021510.10	ZFP729A
ENSMUSG00000021514.15	ZFP369
ENSMUSG00000021518.3	PTDSS1
ENSMUSG00000021519.8	MTERF3
ENSMUSG00000021520.4	UQCRB
ENSMUSG00000021532.10	FASTKD3
ENSMUSG00000021534.7	1700001L19RIK
ENSMUSG00000021536.7	ADCY2
ENSMUSG00000021537.8	CETN3
ENSMUSG00000021538.3	IL9
ENSMUSG00000021539.8	LECT2
ENSMUSG00000021540.14	SMAD5
ENSMUSG00000021541.11	TRPC7
ENSMUSG00000021545.4	1700067P10RIK
ENSMUSG00000021546.15	HNRNPK
ENSMUSG00000021548.8	CCNH
ENSMUSG00000021549.11	RASA1
ENSMUSG00000021550.5	2210016F16RIK
ENSMUSG00000021552.6	GKAP1
ENSMUSG00000021553.11	SLC28A3
ENSMUSG00000021555.12	NAA35
ENSMUSG00000021556.9	GOLM1
ENSMUSG00000021557.12	AGTPBP1
ENSMUSG00000021559.11	DAPK1
ENSMUSG00000021565.14	SLC6A19
ENSMUSG00000021566.6	SLC6A19OS
ENSMUSG00000021567.12	NKD2
ENSMUSG00000021569.9	TRIP13
ENSMUSG00000021572.8	CEP72
ENSMUSG00000021573.12	TPPP
ENSMUSG00000021575.13	AHRR
ENSMUSG00000021576.5	PDCD6
ENSMUSG00000021577.11	SDHA
ENSMUSG00000021578.14	CCDC127
ENSMUSG00000021579.4	LRRC14B
ENSMUSG00000021583.6	ERAP1
ENSMUSG00000021585.8	CAST
ENSMUSG00000021587.4	PCSK1
ENSMUSG00000021589.10	RHOBTB3
ENSMUSG00000021590.6	SPATA9
ENSMUSG00000021591.7	GLRX
ENSMUSG00000021592.13	ARSK
ENSMUSG00000021594.10	SRD5A1
ENSMUSG00000021595.16	NSUN2
ENSMUSG00000021596.14	MCTP1
ENSMUSG00000021597.14	ANKRD32
ENSMUSG00000021598.8	MED10
ENSMUSG00000021600.3	8030423J24RIK
ENSMUSG00000021604.13	IRX4
ENSMUSG00000021606.7	NDUFS6
ENSMUSG00000021607.8	MRPL36
ENSMUSG00000021608.12	LPCAT1
ENSMUSG00000021609.6	SLC6A3
ENSMUSG00000021610.7	CLPTM1L
ENSMUSG00000021611.8	TERT
ENSMUSG00000021612.12	SLC6A18
ENSMUSG00000021613.8	HAPLN1
ENSMUSG00000021614.14	VCAN
ENSMUSG00000021615.11	XRCC4
ENSMUSG00000021619.5	ATG10
ENSMUSG00000021620.4	ACOT12
ENSMUSG00000021621.13	ZCCHC9
ENSMUSG00000021622.3	CKMT2
ENSMUSG00000021624.7	CD180
ENSMUSG00000021629.9	SLC30A5
ENSMUSG00000021631.8	MRPS36-PS1
ENSMUSG00000021635.11	RAD17
ENSMUSG00000021636.12	MARVELD2
ENSMUSG00000021638.10	OCLN
ENSMUSG00000021639.14	GTF2H2
ENSMUSG00000021640.5	NAIP1
ENSMUSG00000021643.12	SERF1
ENSMUSG00000021645.14	SMN1
ENSMUSG00000021646.8	MCCC2
ENSMUSG00000021647.6	CARTPT
ENSMUSG00000021650.6	PTCD2
ENSMUSG00000021660.12	BTF3
ENSMUSG00000021661.13	ANKRA2
ENSMUSG00000021662.9	ARHGEF28
ENSMUSG00000021665.7	HEXB
ENSMUSG00000021666.14	GFM2
ENSMUSG00000021668.12	POLK
ENSMUSG00000021669.12	COL4A3BP
ENSMUSG00000021670.12	HMGCR
ENSMUSG00000021671.8	POC5
ENSMUSG00000021675.4	F2RL2
ENSMUSG00000021676.9	IQGAP2
ENSMUSG00000021678.8	F2RL1
ENSMUSG00000021679.3	S100Z
ENSMUSG00000021680.7	CRHBP
ENSMUSG00000021681.8	AGGF1
ENSMUSG00000021684.14	PDE8B
ENSMUSG00000021685.11	OTP
ENSMUSG00000021686.4	AP3B1
ENSMUSG00000021687.12	SCAMP1
ENSMUSG00000021690.9	JMY
ENSMUSG00000021692.8	DIMT1
ENSMUSG00000021693.17	KIF2A
ENSMUSG00000021694.16	ERCC8
ENSMUSG00000021696.8	ELOVL7
ENSMUSG00000021697.10	DEPDC1B
ENSMUSG00000021699.15	PDE4D
ENSMUSG00000021700.9	RAB3C
ENSMUSG00000021701.7	PLK2
ENSMUSG00000021702.7	THBS4
ENSMUSG00000021703.8	SERINC5
ENSMUSG00000021704.7	MTX3
ENSMUSG00000021706.12	ZFYVE16
ENSMUSG00000021707.4	DHFR
ENSMUSG00000021708.14	RASGRF2
ENSMUSG00000021709.12	ERBB2IP
ENSMUSG00000021710.10	NLN
ENSMUSG00000021711.14	TRAPPC13
ENSMUSG00000021712.12	TRIM23
ENSMUSG00000021713.8	PPWD1
ENSMUSG00000021714.12	CENPK
ENSMUSG00000021715.10	CWC27
ENSMUSG00000021716.12	SREK1IP1
ENSMUSG00000021718.5	4933425L06RIK
ENSMUSG00000021719.8	RGS7BP
ENSMUSG00000021720.10	RNF180
ENSMUSG00000021721.4	HTR1A
ENSMUSG00000021725.8	PARP8
ENSMUSG00000021728.7	EMB
ENSMUSG00000021730.7	HCN1
ENSMUSG00000021731.9	MRPS30
ENSMUSG00000021732.12	FGF10
ENSMUSG00000021733.9	SLC4A7
ENSMUSG00000021737.3	PSMD6
ENSMUSG00000021738.4	ATXN7
ENSMUSG00000021741.3	GM5457
ENSMUSG00000021743.5	FEZF2
ENSMUSG00000021745.11	PTPRG
ENSMUSG00000021747.11	4930452B06RIK
ENSMUSG00000021748.8	PDHB
ENSMUSG00000021749.5	OIT1
ENSMUSG00000021750.13	FAM107A
ENSMUSG00000021751.11	ACOX2
ENSMUSG00000021752.10	KCTD6
ENSMUSG00000021754.15	MAP3K1
ENSMUSG00000021756.10	IL6ST
ENSMUSG00000021758.11	DDX4
ENSMUSG00000021759.11	PPAP2A
ENSMUSG00000021760.3	GPX8
ENSMUSG00000021763.14	BC067074
ENSMUSG00000021764.6	NDUFS4
ENSMUSG00000021765.7	FST
ENSMUSG00000021767.14	KAT6B
ENSMUSG00000021768.13	DUSP13
ENSMUSG00000021770.8	SAMD8
ENSMUSG00000021771.11	VDAC2
ENSMUSG00000021772.12	NKIRAS1
ENSMUSG00000021773.8	COMTD1
ENSMUSG00000021774.10	UBE2E1
ENSMUSG00000021775.10	NR1D2
ENSMUSG00000021779.14	THRB
ENSMUSG00000021782.12	DLG5
ENSMUSG00000021785.7	NGLY1
ENSMUSG00000021786.10	OXSM
ENSMUSG00000021789.12	SFTPA1
ENSMUSG00000021790.10	DYDC1
ENSMUSG00000021791.6	DYDC2
ENSMUSG00000021792.13	FAM213A
ENSMUSG00000021794.13	GLUD1
ENSMUSG00000021795.9	SFTPD
ENSMUSG00000021796.12	BMPR1A
ENSMUSG00000021797.1	9230112D13RIK
ENSMUSG00000021798.11	LDB3
ENSMUSG00000021799.6	OPN4
ENSMUSG00000021803.9	CDHR1
ENSMUSG00000021804.5	RGR
ENSMUSG00000021806.3	NID2
ENSMUSG00000021807.5	2700060E02RIK
ENSMUSG00000021809.9	NUDT13
ENSMUSG00000021810.2	ECD
ENSMUSG00000021811.6	DNAJC9
ENSMUSG00000021814.14	ANXA7
ENSMUSG00000021815.3	MSS51
ENSMUSG00000021816.8	PPP3CB
ENSMUSG00000021819.10	ZSWIM8
ENSMUSG00000021820.14	CAMK2G
ENSMUSG00000021822.2	PLAU
ENSMUSG00000021823.9	VCL
ENSMUSG00000021824.10	AP3M1
ENSMUSG00000021830.11	TXNDC16
ENSMUSG00000021831.8	ERO1L
ENSMUSG00000021832.7	PSMC6
ENSMUSG00000021835.12	BMP4
ENSMUSG00000021838.14	SAMD4
ENSMUSG00000021840.14	MAPK1IP1L
ENSMUSG00000021843.14	KTN1
ENSMUSG00000021846.8	PELI2
ENSMUSG00000021848.13	OTX2
ENSMUSG00000021850.11	1700011H14RIK
ENSMUSG00000021852.11	SLC35F4
ENSMUSG00000021866.13	ANXA11
ENSMUSG00000021867.14	TMEM254B
ENSMUSG00000021868.6	PPIF
ENSMUSG00000021870.15	SLMAP
ENSMUSG00000021871.15	PNP
ENSMUSG00000021872.7	RNASE10
ENSMUSG00000021874.10	4933413J09RIK
ENSMUSG00000021876.12	RNASE4
ENSMUSG00000021877.9	ARF4
ENSMUSG00000021879.10	DNAH12
ENSMUSG00000021880.6	RNASE6
ENSMUSG00000021884.15	HACL1
ENSMUSG00000021886.6	GPR65
ENSMUSG00000021890.5	EAF1
ENSMUSG00000021891.7	METTL6
ENSMUSG00000021892.12	SH3BP5
ENSMUSG00000021893.11	CAPN7
ENSMUSG00000021895.9	ARHGEF3
ENSMUSG00000021898.12	ASB14
ENSMUSG00000021900.10	BTD
ENSMUSG00000021901.8	BAP1
ENSMUSG00000021902.6	PHF7
ENSMUSG00000021903.9	GALNT15
ENSMUSG00000021904.5	SEMA3G
ENSMUSG00000021905.11	DPH3
ENSMUSG00000021906.11	OXNAD1
ENSMUSG00000021907.10	MSMB
ENSMUSG00000021908.9	GM6768
ENSMUSG00000021910.13	NISCH
ENSMUSG00000021911.13	PARG
ENSMUSG00000021913.7	OGDHL
ENSMUSG00000021916.13	GLT8D1
ENSMUSG00000021917.12	SPCS1
ENSMUSG00000021918.9	NEK4
ENSMUSG00000021919.7	CHAT
ENSMUSG00000021922.13	ITIH4
ENSMUSG00000021927.7	GM5803
ENSMUSG00000021928.8	EBPL
ENSMUSG00000021929.8	KPNA3
ENSMUSG00000021930.12	SPRYD7
ENSMUSG00000021932.11	RNASEH2B
ENSMUSG00000021933.9	GUCY1B2
ENSMUSG00000021936.11	MAPK8
ENSMUSG00000021938.9	PSPC1
ENSMUSG00000021939.7	CTSB
ENSMUSG00000021940.9	PTPN20
ENSMUSG00000021943.6	GDF10
ENSMUSG00000021944.13	GATA4
ENSMUSG00000021945.8	ZMYM2
ENSMUSG00000021947.10	CRYL1
ENSMUSG00000021948.13	PRKCD
ENSMUSG00000021950.13	ANXA8
ENSMUSG00000021951.5	N6AMT2
ENSMUSG00000021952.13	XPO4
ENSMUSG00000021953.12	TDH
ENSMUSG00000021957.6	TKT
ENSMUSG00000021958.4	PINX1
ENSMUSG00000021959.13	LATS2
ENSMUSG00000021961.5	4930578I06RIK
ENSMUSG00000021962.8	DCP1A
ENSMUSG00000021963.14	SAP18
ENSMUSG00000021965.2	SKA3
ENSMUSG00000021966.7	PRSS52
ENSMUSG00000021967.3	MRPL57
ENSMUSG00000021969.7	ZDHHC20
ENSMUSG00000021972.12	HMBOX1
ENSMUSG00000021973.8	MICU2
ENSMUSG00000021974.12	FGF9
ENSMUSG00000021975.7	INTS9
ENSMUSG00000021977.9	1700129C05RIK
ENSMUSG00000021978.8	EXTL3
ENSMUSG00000021981.9	CAB39L
ENSMUSG00000021982.11	CDADC1
ENSMUSG00000021983.13	ATP8A2
ENSMUSG00000021986.7	AMER2
ENSMUSG00000021987.8	MTMR6
ENSMUSG00000021990.13	SPATA13
ENSMUSG00000021991.8	CACNA2D3
ENSMUSG00000021993.9	MIPEP
ENSMUSG00000021994.12	WNT5A
ENSMUSG00000021996.14	ESD
ENSMUSG00000021997.4	LRRC63
ENSMUSG00000021998.14	LCP1
ENSMUSG00000021999.8	CPB2
ENSMUSG00000022000.10	ZC3H13
ENSMUSG00000022002.1	4930564B18RIK
ENSMUSG00000022003.6	SLC25A30
ENSMUSG00000022008.3	GPALPP1
ENSMUSG00000022009.1	NUFIP1
ENSMUSG00000022010.17	TSC22D1
ENSMUSG00000022012.8	ENOX1
ENSMUSG00000022013.3	DNAJC15
ENSMUSG00000022014.12	EPSTI1
ENSMUSG00000022015.8	TNFSF11
ENSMUSG00000022016.13	AKAP11
ENSMUSG00000022018.7	RGCC
ENSMUSG00000022019.13	TDRD3
ENSMUSG00000022020.12	NAA16
ENSMUSG00000022021.11	DIAP3
ENSMUSG00000022022.2	MTRF1
ENSMUSG00000022023.5	WBP4
ENSMUSG00000022024.9	SUGT1
ENSMUSG00000022025.11	LECT1
ENSMUSG00000022026.6	OLFM4
ENSMUSG00000022031.5	ELP3
ENSMUSG00000022032.12	SCARA5
ENSMUSG00000022033.7	PBK
ENSMUSG00000022034.9	ESCO2
ENSMUSG00000022035.5	CCDC25
ENSMUSG00000022037.12	CLU
ENSMUSG00000022039.5	ADAM2
ENSMUSG00000022040.7	EPHX2
ENSMUSG00000022041.9	CHRNA2
ENSMUSG00000022043.16	TRIM35
ENSMUSG00000022044.12	STMN4
ENSMUSG00000022048.8	DPYSL2
ENSMUSG00000022051.13	BNIP3L
ENSMUSG00000022052.8	PPP2R2A
ENSMUSG00000022053.11	EBF2
ENSMUSG00000022054.9	NEFM
ENSMUSG00000022055.7	NEFL
ENSMUSG00000022056.8	ADAM7
ENSMUSG00000022057.7	ADAMDEC1
ENSMUSG00000022061.8	NKX3-1
ENSMUSG00000022064.9	PIBF1
ENSMUSG00000022066.14	GM21685
ENSMUSG00000022070.6	BORA
ENSMUSG00000022074.5	TNFRSF10B
ENSMUSG00000022075.6	RHOBTB2
ENSMUSG00000022076.9	KLHL1
ENSMUSG00000022085.3	PEBP4
ENSMUSG00000022089.8	BIN3
ENSMUSG00000022090.8	PDLIM2
ENSMUSG00000022091.5	SORBS3
ENSMUSG00000022092.10	PPP3CC
ENSMUSG00000022094.13	SLC39A14
ENSMUSG00000022095.9	FAM160B2
ENSMUSG00000022096.12	HR
ENSMUSG00000022097.3	SFTPC
ENSMUSG00000022098.9	BMP1
ENSMUSG00000022099.14	DMTN
ENSMUSG00000022100.11	XPO7
ENSMUSG00000022101.5	FGF17
ENSMUSG00000022102.11	DOK2
ENSMUSG00000022103.9	GFRA2
ENSMUSG00000022105.6	RB1
ENSMUSG00000022106.12	RCBTB2
ENSMUSG00000022108.7	ITM2B
ENSMUSG00000022109.5	MED4
ENSMUSG00000022110.11	SUCLA2
ENSMUSG00000022111.8	UCHL3
ENSMUSG00000022112.12	GPC5
ENSMUSG00000022113.6	TRIM52
ENSMUSG00000022114.4	SPRY2
ENSMUSG00000022116.5	4930449E01RIK
ENSMUSG00000022119.13	RBM26
ENSMUSG00000022120.3	RNF219
ENSMUSG00000022122.12	EDNRB
ENSMUSG00000022123.8	SCEL
ENSMUSG00000022124.12	FBXL3
ENSMUSG00000022125.6	CLN5
ENSMUSG00000022126.6	IRG1
ENSMUSG00000022129.3	DCT
ENSMUSG00000022130.9	TGDS
ENSMUSG00000022131.2	GPR180
ENSMUSG00000022132.13	CLDN10
ENSMUSG00000022136.7	DNAJC3
ENSMUSG00000022139.14	MBNL2
ENSMUSG00000022141.6	NIPBL
ENSMUSG00000022142.7	NUP155
ENSMUSG00000022144.3	GDNF
ENSMUSG00000022146.10	OSMR
ENSMUSG00000022148.13	FYB
ENSMUSG00000022149.15	C9
ENSMUSG00000022150.14	DAB2
ENSMUSG00000022151.14	TTC33
ENSMUSG00000022155.8	MROH2B
ENSMUSG00000022156.7	GZME
ENSMUSG00000022157.7	MCPT8
ENSMUSG00000022159.14	RAB2B
ENSMUSG00000022160.15	METTL3
ENSMUSG00000022174.8	DAD1
ENSMUSG00000022175.8	LRP10
ENSMUSG00000022176.9	REM2
ENSMUSG00000022177.8	HAUS4
ENSMUSG00000022178.10	AJUBA
ENSMUSG00000022179.4	4931414P19RIK
ENSMUSG00000022180.6	SLC7A8
ENSMUSG00000022181.13	C6
ENSMUSG00000022184.8	FBXO4
ENSMUSG00000022185.16	ACIN1
ENSMUSG00000022186.12	OXCT1
ENSMUSG00000022187.2	GM5546
ENSMUSG00000022191.13	DROSHA
ENSMUSG00000022193.6	PSMB5
ENSMUSG00000022194.13	PABPN1
ENSMUSG00000022195.6	6030458C11RIK
ENSMUSG00000022197.13	PDZD2
ENSMUSG00000022199.10	SLC22A17
ENSMUSG00000022200.7	GOLPH3
ENSMUSG00000022201.13	ZFR
ENSMUSG00000022203.6	EFS
ENSMUSG00000022204.8	NGDN
ENSMUSG00000022205.13	SUB1
ENSMUSG00000022206.6	NPR3
ENSMUSG00000022208.9	JPH4
ENSMUSG00000022209.10	DHRS2
ENSMUSG00000022210.6	DHRS4
ENSMUSG00000022211.8	LRRC16B
ENSMUSG00000022212.13	CPNE6
ENSMUSG00000022214.12	DCAF11
ENSMUSG00000022215.5	FITM1
ENSMUSG00000022216.14	PSME1
ENSMUSG00000022217.12	EMC9
ENSMUSG00000022218.13	TGM1
ENSMUSG00000022219.9	CIDEB
ENSMUSG00000022220.11	ADCY4
ENSMUSG00000022221.11	RIPK3
ENSMUSG00000022223.8	SDR39U1
ENSMUSG00000022225.6	CMA1
ENSMUSG00000022226.5	MCPT2
ENSMUSG00000022227.4	MCPT1
ENSMUSG00000022228.11	ZSCAN26
ENSMUSG00000022229.2	ATP12A
ENSMUSG00000022231.9	SEMA5A
ENSMUSG00000022234.12	CCT5
ENSMUSG00000022235.12	CMBL
ENSMUSG00000022236.9	ROPN1L
ENSMUSG00000022237.14	ANKRD33B
ENSMUSG00000022240.9	CTNND2
ENSMUSG00000022241.5	TARS
ENSMUSG00000022243.10	SLC45A2
ENSMUSG00000022244.6	AMACR
ENSMUSG00000022245.13	SKOR1
ENSMUSG00000022246.11	RAI14
ENSMUSG00000022247.10	BRIX1
ENSMUSG00000022248.12	RAD1
ENSMUSG00000022249.11	TTC23L
ENSMUSG00000022253.12	NADK2
ENSMUSG00000022255.13	MTDH
ENSMUSG00000022257.3	LAPTM4B
ENSMUSG00000022261.5	SDC2
ENSMUSG00000022262.7	DNAH5
ENSMUSG00000022263.9	TRIO
ENSMUSG00000022265.6	ANK
ENSMUSG00000022269.11	43170
ENSMUSG00000022270.13	FAM134B
ENSMUSG00000022272.15	MYO10
ENSMUSG00000022280.8	RNF19A
ENSMUSG00000022283.12	PABPC1
ENSMUSG00000022285.14	YWHAZ
ENSMUSG00000022286.13	GRHL2
ENSMUSG00000022288.1	4930447A16RIK
ENSMUSG00000022292.13	RRM2B
ENSMUSG00000022295.7	ATP6V1C1
ENSMUSG00000022296.8	BAALC
ENSMUSG00000022297.12	FZD6
ENSMUSG00000022299.8	SLC25A32
ENSMUSG00000022300.9	DCAF13
ENSMUSG00000022303.8	DCSTAMP
ENSMUSG00000022304.10	DPYS
ENSMUSG00000022305.10	LRP12
ENSMUSG00000022306.8	ZFPM2
ENSMUSG00000022307.13	OXR1
ENSMUSG00000022309.8	ANGPT1
ENSMUSG00000022311.13	CSMD3
ENSMUSG00000022312.10	EIF3H
ENSMUSG00000022313.10	UTP23
ENSMUSG00000022314.9	RAD21
ENSMUSG00000022315.3	SLC30A8
ENSMUSG00000022321.13	CDH10
ENSMUSG00000022322.7	SHCBP1
ENSMUSG00000022323.9	HRSP12
ENSMUSG00000022324.12	MATN2
ENSMUSG00000022325.12	POP1
ENSMUSG00000022329.12	STK3
ENSMUSG00000022330.4	OSR2
ENSMUSG00000022332.7	KHDRBS3
ENSMUSG00000022335.14	ZFAT
ENSMUSG00000022336.2	EIF3E
ENSMUSG00000022337.6	EMC2
ENSMUSG00000022338.6	ENY2
ENSMUSG00000022339.8	EBAG9
ENSMUSG00000022340.12	SYBU
ENSMUSG00000022342.5	KCNV1
ENSMUSG00000022346.12	MYC
ENSMUSG00000022347.7	A1BG
ENSMUSG00000022350.6	E430025E21RIK
ENSMUSG00000022351.12	SQLE
ENSMUSG00000022353.9	MTSS1
ENSMUSG00000022354.3	NDUFB9
ENSMUSG00000022357.2	KLHL38
ENSMUSG00000022358.6	FBXO32
ENSMUSG00000022359.9	WDYHV1
ENSMUSG00000022360.7	ATAD2
ENSMUSG00000022361.12	ZHX1
ENSMUSG00000022362.11	GM29394
ENSMUSG00000022364.12	TBC1D31
